,ID,start_time,completion_time,email,name,gender,age,start_sector,bus_frequency,bus_waiting_time,bus_avg_spending,taxi_frequency,taxi_waiting_time,taxi_avg_spending,service_freq_order,trip_avg_time,trip_avg_km,transport_energy_source,pay_more_no_gas,EV_worries,env_pay_no_more_taxi,route_pay_no_more_taxi,env_pay_no_more_bus,transport_alternatives,massive_transport_weakness
78,133,1/22/20-13:03:32,1/22/20-13:05:00,anonymous,,Hombre,25-34,Norte_de_Quito,1_dia_a_la_semana,5-10_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
79,134,1/22/20-14:44:38,1/22/20-14:45:37,anonymous,,Hombre,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
80,135,1/22/20-14:55:09,1/22/20-14:55:46,anonymous,,Hombre,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.25,No_me_movilizo_en_taxi,,,,,,,,,,,,,
81,136,1/22/20-15:42:42,1/22/20-15:44:56,anonymous,,Hombre,25-34,Sur_de_Quito,No_me_movilizo_en_bus,,,1_dia_a_la_semana,menos_de_5_minutos,de_6_a_8_dolares,Uber;Taxi_Amarillo;Cabify;In_drive;Otra,Mas_de_50_minutos,8-15,Electrico,SI,Tiempo_de_autonomia,0.5_cvs,0.75_cvs,0.30_cvs,,
82,137,1/22/20-16:12:38,1/22/20-16:14:33,anonymous,,Hombre,18-24,Sur_de_Quito,2_dias_a_la_semana,5-10_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
83,138,1/22/20-18:40:26,1/22/20-18:41:26,anonymous,,Hombre,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,menos_de_5_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
84,139,1/22/20-21:45:27,1/22/20-21:48:32,anonymous,,Hombre,18-24,Sur_de_Quito,2_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
85,140,1/22/20-22:04:15,1/22/20-22:06:56,anonymous,,Hombre,25-34,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,1.25,No_me_movilizo_en_taxi,,,,,,,,,,,,,
86,141,1/23/20-12:44:56,1/23/20-12:45:22,anonymous,,Hombre,18-24,Norte_de_Quito,2_dias_a_la_semana,5-10_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
87,142,1/23/20-12:47:23,1/23/20-12:47:59,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
88,143,1/23/20-12:47:53,1/23/20-12:48:31,anonymous,,Hombre,18-24,Sur_de_Quito,1_dia_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
