"k_fold","width","height","accuracy","F1","precision","recall","group","model","features","ALGG","MSE","RMSE","dimentions","order"
"7",940,940,0.863636364,0.928571429,0.857142857,0.891428571,"G03","XGBR","GRAY_CH","REGRESSORS","0.136363636","0.369274473","940x940",1
"8",940,940,0.818181818,0.852380952,0.80952381,0.830399782,"G03","XGBR","GRAY_CH","REGRESSORS","0.318181818","0.564076075","940x940",1
"9",940,940,0.904761905,0.935714286,0.904761905,0.919977823,"G03","XGBR","GRAY_CH","REGRESSORS","0.238095238","0.487950036","940x940",1
"10",940,940,0.761904762,0.761904762,0.773809524,0.767811,"G03","XGBR","GRAY_CH","REGRESSORS","0.238095238","0.487950036","940x940",1
"1",940,940,0.681818182,0.711904762,0.678571429,0.694838552,"G03","RFR","HRLK","REGRESSORS","0.318181818","0.564076075","940x940",6
"2",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","RFR","HRLK","REGRESSORS","0.136363636","0.369274473","940x940",6
"3",940,940,0.727272727,0.785714286,0.714285714,0.74829932,"G03","RFR","HRLK","REGRESSORS","0.636363636","0.797724035","940x940",6
"4",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","RFR","HRLK","REGRESSORS","0.136363636","0.369274473","940x940",6
"5",940,940,0.818181818,0.880952381,0.80952381,0.843729041,"G03","RFR","HRLK","REGRESSORS","0.909090909","0.953462589","940x940",6
"6",940,940,0.863636364,0.892857143,0.869047619,0.880791506,"G03","RFR","HRLK","REGRESSORS","0.136363636","0.369274473","940x940",6
"7",940,940,0.772727273,0.785714286,0.761904762,0.773626374,"G03","RFR","HRLK","REGRESSORS","1.318181818","1.148120995","940x940",6
"8",940,940,0.772727273,0.8,0.785714286,0.792792793,"G03","RFR","HRLK","REGRESSORS","0.363636364","0.603022689","940x940",6
"9",940,940,0.761904762,0.821428571,0.773809524,0.796908316,"G03","RFR","HRLK","REGRESSORS","0.238095238","0.487950036","940x940",6
"10",940,940,0.904761905,0.928571429,0.880952381,0.904135338,"G03","RFR","HRLK","REGRESSORS","0.80952381","0.899735411","940x940",6
"1",940,940,0.727272727,0.857142857,0.738095238,0.793176972,"G03","XGBR","HRLK","REGRESSORS","0.409090909","0.639602149","940x940",6
"2",940,940,0.772727273,0.729166667,0.791666667,0.75913242,"G03","XGBR","HRLK","REGRESSORS","0.590909091","0.768706115","940x940",6
"3",940,940,0.909090909,0.916666667,0.904761905,0.910675381,"G03","XGBR","HRLK","REGRESSORS","0.227272727","0.476731295","940x940",6
"4",940,940,0.772727273,0.811904762,0.761904762,0.786110511,"G03","XGBR","HRLK","REGRESSORS","0.363636364","0.603022689","940x940",6
"5",940,940,0.818181818,0.885714286,0.80952381,0.845906902,"G03","XGBR","HRLK","REGRESSORS","0.318181818","0.564076075","940x940",6
"6",940,940,0.818181818,0.857142857,0.821428571,0.838905775,"G03","XGBR","HRLK","REGRESSORS","0.318181818","0.564076075","940x940",6
"7",940,940,0.818181818,0.892857143,0.80952381,0.849150849,"G03","XGBR","HRLK","REGRESSORS","0.181818182","0.426401433","940x940",6
"8",940,940,0.818181818,0.857142857,0.821428571,0.838905775,"G03","XGBR","HRLK","REGRESSORS","0.863636364","0.929320377","940x940",6
"9",940,940,0.619047619,0.75952381,0.607142857,0.674838228,"G03","XGBR","HRLK","REGRESSORS","1.476190476","1.214985793","940x940",6
"10",940,940,0.80952381,0.878571429,0.845238095,0.861582478,"G03","XGBR","HRLK","REGRESSORS","0.19047619","0.43643578","940x940",6
"1",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFR","HSV_CH","REGRESSORS","0.090909091","0.301511345","940x940",2
"2",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","RFR","HSV_CH","REGRESSORS","0.136363636","0.369274473","940x940",2
"3",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","HSV_CH","REGRESSORS","0.045454545","0.213200716","940x940",2
"4",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFR","HSV_CH","REGRESSORS","0.227272727","0.476731295","940x940",2
"5",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","RFR","HSV_CH","REGRESSORS","0.136363636","0.369274473","940x940",2
"6",940,940,0.818181818,0.821428571,0.80952381,0.815432742,"G03","RFR","HSV_CH","REGRESSORS","0.181818182","0.426401433","940x940",2
"7",940,940,0.727272727,0.714285714,0.714285714,0.714285714,"G03","RFR","HSV_CH","REGRESSORS","0.272727273","0.522232968","940x940",2
"8",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","RFR","HSV_CH","REGRESSORS","0.136363636","0.369274473","940x940",2
"9",940,940,0.714285714,0.75952381,0.69047619,0.723356009,"G03","RFR","HSV_CH","REGRESSORS","0.571428571","0.755928946","940x940",2
"10",940,940,0.857142857,0.871428571,0.869047619,0.870236467,"G03","RFR","HSV_CH","REGRESSORS","0.142857143","0.377964473","940x940",2
"1",940,940,0.818181818,0.816666667,0.80952381,0.813079551,"G03","XGBR","HSV_CH","REGRESSORS","0.318181818","0.564076075","940x940",2
"2",940,940,0.818181818,0.84047619,0.80952381,0.824709682,"G03","XGBR","HSV_CH","REGRESSORS","0.545454545","0.738548946","940x940",2
"3",940,940,0.772727273,0.738095238,0.761904762,0.749811036,"G03","XGBR","HSV_CH","REGRESSORS","0.227272727","0.476731295","940x940",2
"4",940,940,0.772727273,0.80952381,0.761904762,0.784992785,"G03","XGBR","HSV_CH","REGRESSORS","0.227272727","0.476731295","940x940",2
"5",940,940,0.909090909,0.928571429,0.916666667,0.922580645,"G03","XGBR","HSV_CH","REGRESSORS","0.090909091","0.301511345","940x940",2
"6",940,940,0.909090909,0.916666667,0.904761905,0.910675381,"G03","XGBR","HSV_CH","REGRESSORS","0.090909091","0.301511345","940x940",2
"7",940,940,0.818181818,0.845238095,0.80952381,0.826995546,"G03","XGBR","HSV_CH","REGRESSORS","0.181818182","0.426401433","940x940",2
"8",940,940,0.909090909,0.928571429,0.916666667,0.922580645,"G03","XGBR","HSV_CH","REGRESSORS","0.090909091","0.301511345","940x940",2
"9",940,940,0.80952381,0.833333333,0.797619048,0.815085158,"G03","XGBR","HSV_CH","REGRESSORS","0.19047619","0.43643578","940x940",2
